Lang,CurrencyISO,CurrencyName,Money,Symbol
"FR","LAK","Kip","ກີບ","₭"
"FR","HRK","Kuna Croate","Kuna","k"
"FR","MWK","Kwacha","Kwacha","M"
"FR","ZMK","Kwacha zambien","Kwacha","Z"
"FR","AOA","Kwanza","Kwanza","K"
"FR","MMK","Kyat","Kyat","K"
"FR","GEL","Lari","ლარი","l"
"FR","LVL","Lats letton","Lats","L"
"FR","ALL","Lek","Leku","L"
"FR","HNL","Lempira","Lempira","L"
"FR","SLL","Leone","Leone","L"
"FR","MDL","Leu moldave","Leu","l"
"FR","BGN","lev bulgare","лев","л"
"FR","SZL","Lilangeni","Lilangeni","L"
"FR","TRY","lire turque","Lirasi","T"
"FR","LTL","Litas lituanien","litas","L"
"FR","GIP","Livre de Gibraltar","Livre","£"
"FR","EGP","Livre égyptienne","الجنيه","£"
"FR","LBP","Livre Libanaise","ليرة,","ل"
"FR","SDG","Livre soudanaise","جنيه","£"
"FR","GBP","Livre Sterling","Livre","£"
"FR","SYP","Livre syrienne","الليرة","S"
"FR","LSL","Loti","Loti","L"
"FR","MGA","Malagasy Ariary","Ariary","F"
"FR","TMT","Manat","Манат","m"
"FR","AZN","manat azerbaïdjanais","Manati","м"
"FR","BAM","Marks convertibles","Marka","K"
"FR","MZN","Metical","Metical","M"
"FR","NGN","Naira","Naira","₦"
"FR","ERN","Nakfa","Nakfa","N"
"FR","BTN","Ngultrum","དངུལ་ཀྲམ","N"
"FR","RON","Nouveau Leu","Leu","L"
"FR","PEN","Nuevo Sol","Sol","S"
"FR","MRO","Ouguiya","أوقية","U"
"FR","TOP","Pa'anga","Pa'anga","T"
"FR","MOP","Pataca","澳门 圆","M"
"FR","ANG","Pays-Bas Antilles Florin","Gulden","N"
"FR","ARS","Peso argentin","Peso","$"
"FR","CLP","Peso Chilien","Peso","$"
"FR","COP","Peso colombien","Peso","C"
"FR","CUP","Peso cubain","Peso","$"
"FR","DOP","Peso Dominican","Peso","R"
"FR","MXN","Peso mexicain","Peso","$"
"FR","PHP","Peso philippin","Piso","₱"
"FR","UYU","Peso uruguayen","Peso","$"
"FR","BWP","Pula","Pula","P"
"FR","GTQ","Quetzal","Quetzal","Q"
"FR","ZAR","Rand","Rand","R"
"FR","BRL","Real brésilien","Immobilier","R"
"FR","IRR","Rial iranien","﷼","﷼"
"FR","OMR","Rial omanais","ريال","ر"
"FR","KHR","Riel","Riel","r"
"FR","MYR","Ringgit Malaisien","ريڠڬيت","R"
"FR","QAR","Riyal du Qatar","ريال","ر"
"FR","YER","Riyal du Yémen","ريال","ر"
"FR","SAR","Riyal saoudien","ريال","ر"
"FR","RUB","rouble russe","Рубль","р"
"FR","MUR","Roupie de Maurice","Roupie","R"
"FR","LKR","Roupie de Sri Lanka","Roupie","R"
"FR","INR","Roupie indienne","Roupie","R"
"FR","NPR","Roupie Népalaise","Roupie","N"
"FR","PKR","Roupie pakistanaise","Roupie","R"
"FR","RCS","Roupie Seychelloise","Roupie","S"
"FR","MVR","Rufiyaa","Rufiyaa","R"
"FR","IDR","Rupiah","Rupiah","R"
"FR","RWF","Rwanda Franc","Franc","R"
"FR","SHP","Saint Helena Pound","Livre","£"
"FR","SOS","Shilling de Somalie","Shilin","S"
"FR","KES","Shilling kenyan","Shilling","K"
"FR","UGX","Shilling ougandais","Shilling","U"
"FR","TZS","Shilling tanzanien","Shilingi","/"
"FR","KGS","Som","сом","с"
"FR","TJS","Somoni","Сомонӣ","С"
"FR","UZS","Sum ouzbek","Сўм","с"
"FR","BDT","Taka","টাকা","৳"
"FR","WST","Tala","Tala","W"
"FR","KZT","Tenge","Теңгесі","〒"
